n:149 mse_avg:383.37 mse_y:565.69 mse_u:18.51 mse_v:18.91 psnr_avg:22.29 psnr_y:20.60 psnr_u:35.46 psnr_v:35.36 
n:150 mse_avg:393.72 mse_y:580.98 mse_u:18.87 mse_v:19.54 psnr_avg:22.18 psnr_y:20.49 psnr_u:35.37 psnr_v:35.22 
n:151 mse_avg:398.81 mse_y:588.71 mse_u:18.44 mse_v:19.60 psnr_avg:22.12 psnr_y:20.43 psnr_u:35.47 psnr_v:35.21 
n:152 mse_avg:416.45 mse_y:615.18 mse_u:18.57 mse_v:19.43 psnr_avg:21.94 psnr_y:20.24 psnr_u:35.44 psnr_v:35.25 
n:153 mse_avg:409.24 mse_y:603.97 mse_u:19.22 mse_v:20.34 psnr_avg:22.01 psnr_y:20.32 psnr_u:35.29 psnr_v:35.05 
n:154 mse_avg:392.75 mse_y:579.11 mse_u:18.99 mse_v:21.07 psnr_avg:22.19 psnr_y:20.50 psnr_u:35.34 psnr_v:34.89 
n:155 mse_avg:374.81 mse_y:551.96 mse_u:19.68 mse_v:21.33 psnr_avg:22.39 psnr_y:20.71 psnr_u:35.19 psnr_v:34.84 
n:156 mse_avg:354.14 mse_y:521.09 mse_u:20.04 mse_v:20.42 psnr_avg:22.64 psnr_y:20.96 psnr_u:35.11 psnr_v:35.03 
n:157 mse_avg:326.70 mse_y:480.02 mse_u:20.25 mse_v:19.89 psnr_avg:22.99 psnr_y:21.32 psnr_u:35.07 psnr_v:35.14 
n:158 mse_avg:332.61 mse_y:488.81 mse_u:20.62 mse_v:19.77 psnr_avg:22.91 psnr_y:21.24 psnr_u:34.99 psnr_v:35.17 
n:159 mse_avg:334.59 mse_y:491.54 mse_u:20.90 mse_v:20.45 psnr_avg:22.89 psnr_y:21.22 psnr_u:34.93 psnr_v:35.02 
n:160 mse_avg:331.09 mse_y:486.17 mse_u:20.85 mse_v:21.01 psnr_avg:22.93 psnr_y:21.26 psnr_u:34.94 psnr_v:34.91 
n:161 mse_avg:320.02 mse_y:469.63 mse_u:20.04 mse_v:21.55 psnr_avg:23.08 psnr_y:21.41 psnr_u:35.11 psnr_v:34.80 
n:162 mse_avg:310.03 mse_y:454.93 mse_u:19.48 mse_v:20.98 psnr_avg:23.22 psnr_y:21.55 psnr_u:35.24 psnr_v:34.91 
n:163 mse_avg:312.78 mse_y:458.95 mse_u:19.94 mse_v:20.98 psnr_avg:23.18 psnr_y:21.51 psnr_u:35.13 psnr_v:34.91 
n:164 mse_avg:317.44 mse_y:465.93 mse_u:19.98 mse_v:20.97 psnr_avg:23.11 psnr_y:21.45 psnr_u:35.12 psnr_v:34.91 
n:165 mse_avg:318.69 mse_y:468.04 mse_u:19.41 mse_v:20.60 psnr_avg:23.10 psnr_y:21.43 psnr_u:35.25 psnr_v:34.99 
n:166 mse_avg:313.69 mse_y:461.07 mse_u:18.02 mse_v:19.83 psnr_avg:23.17 psnr_y:21.49 psnr_u:35.57 psnr_v:35.16 
n:167 mse_avg:319.34 mse_y:470.65 mse_u:15.73 mse_v:17.70 psnr_avg:23.09 psnr_y:21.40 psnr_u:36.16 psnr_v:35.65 
n:168 mse_avg:350.60 mse_y:518.05 mse_u:14.77 mse_v:16.61 psnr_avg:22.68 psnr_y:20.99 psnr_u:36.44 psnr_v:35.93 
